b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,1.0,2.0,100.0,1000,0,0.0,0.029887853856880763,0.0,0.0002773002267780308
0.11,0.0,0.0003,1.0,2.0,1000.0,1000,0,0.0,0.0029480215148033955,0.0,2.7641964805073614e-06
0.11,0.0,0.0003,1.0,2.5,10.0,1000,0,0.0,0.4163506667896432,0.0,0.07331058585469287
0.11,0.0,0.0003,1.0,2.5,100.0,1000,0,0.0,0.030523768769837492,0.0,0.00030456150846938683
0.11,0.0,0.0003,1.0,2.5,1000.0,1000,0,0.0,0.002981079063641906,0.0,3.043488254464915e-06
0.11,0.0,0.0003,1.0,3.0,10.0,1000,0,0.0,0.3991693009830184,0.0,0.07104404928130646
0.11,0.0,0.0003,1.0,3.0,100.0,1000,0,0.0,0.030061980424291035,0.0,0.00030151127769813805
0.11,0.0,0.0003,1.0,3.0,1000.0,1000,0,0.0,0.0030772999004021347,0.0,3.133432230354405e-06
0.11,0.0,0.0001,1e-05,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,3.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,3.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,3.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,1.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,1.1,1000.0,1000,0,0.0,8.185950409304324,0.0,14.174988526032141
0.11,0.0,0.0001,0.001,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,1.5,1000.0,1000,0,0.0,8.367722847017273,0.0,10.15728997435833
0.11,0.0,0.0001,0.001,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,2.0,1000.0,1000,0,0.0,8.696728438811581,0.0,8.704845012424439
0.11,0.0,0.0001,0.001,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,2.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,2.5,1000.0,1000,0,0.0,10.965996951585483,0.0,28.10706014033942
0.11,0.0,0.0001,0.001,3.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,3.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,3.0,1000.0,1000,0,0.0,8.850130291176825,0.0,21.69277432595223
0.11,0.0,0.0001,0.1,1.1,10.0,1000,0,0.0,42.336399422384154,0.0,920.1440149810308
0.11,0.0,0.0001,0.1,1.1,100.0,1000,0,0.0,1.0842371669094384,0.0,0.17007452334313786
0.11,0.0,0.0001,0.1,1.1,1000.0,1000,0,0.0,0.09291767164194888,0.0,0.0010475912488239173
0.11,0.0,0.0001,0.1,1.5,10.0,1000,0,0.0,55.00367726264582,0.0,1601.0046745939228
0.11,0.0,0.0001,0.1,1.5,100.0,1000,0,0.0,1.0384243062258989,0.0,0.1525041954059259
0.11,0.0,0.0001,0.1,1.5,1000.0,1000,0,0.0,0.0925244254672938,0.0,0.0009224698336624038
0.11,0.0,0.0001,0.1,2.0,10.0,1000,0,0.0,49.931036764252816,0.0,1015.3816698312099
0.11,0.0,0.0001,0.1,2.0,100.0,1000,0,0.0,1.0114677460131434,0.0,0.1471462427059071
0.11,0.0,0.0001,0.1,2.0,1000.0,1000,0,0.0,0.09091531062494707,0.0,0.0008895365619322166
0.11,0.0,0.0001,0.1,2.5,10.0,1000,0,0.0,45.83549262567323,0.0,1808.9307790609344
0.11,0.0,0.0001,0.1,2.5,100.0,1000,0,0.0,1.019974583358378,0.0,0.13486561711171668
0.11,0.0,0.0001,0.1,2.5,1000.0,1000,0,0.0,0.09239152700905205,0.0,0.0010127854916579498
0.11,0.0,0.0001,0.1,3.0,10.0,1000,0,0.0,50.19886647981243,0.0,1204.5220411729497
0.11,0.0,0.0001,0.1,3.0,100.0,1000,0,0.0,1.0418461463354616,0.0,0.1520802542578339
0.11,0.0,0.0001,0.1,3.0,1000.0,1000,0,0.0,0.09175285608466364,0.0,0.0009807815472252807
0.11,0.0,0.0001,1.0,1.1,10.0,1000,0,0.0,23.64251143086104,0.0,437.5517015836832
0.11,0.0,0.0001,1.0,1.1,100.0,1000,0,0.0,0.10018139915176613,0.0,0.0011332034006687635
0.11,0.0,0.0001,1.0,1.1,1000.0,1000,0,0.0,0.008966079591940894,0.0,9.827092782485097e-06
0.11,0.0,0.0001,1.0,1.5,10.0,1000,0,0.0,24.286510123051478,0.0,610.6407241966242
0.11,0.0,0.0001,1.0,1.5,100.0,1000,0,0.0,0.09654075485879178,0.0,0.0010361003125690855
0.11,0.0,0.0001,1.0,1.5,1000.0,1000,0,0.0,0.009273218726967541,0.0,9.674713274834447e-06
0.11,0.0,0.0001,1.0,2.0,10.0,1000,0,0.0,24.14110293110832,0.0,510.2705207852441
0.11,0.0,0.0001,1.0,2.0,100.0,1000,0,0.0,0.0961276293782156,0.0,0.0010376715586039485
0.11,0.0,0.0001,1.0,2.0,1000.0,1000,0,0.0,0.009029087608907516,0.0,8.958251798925892e-06
0.11,0.0,0.0001,1.0,2.5,10.0,1000,0,0.0,28.0465205778382,0.0,637.4061790869588
0.11,0.0,0.0001,1.0,2.5,100.0,1000,0,0.0,0.09566172303433634,0.0,0.0010504267433139847
0.11,0.0,0.0001,1.0,2.5,1000.0,1000,0,0.0,0.00913720239306906,0.0,8.734412295608874e-06
0.11,0.0,0.0001,1.0,3.0,10.0,1000,0,0.0,26.136010708651924,0.0,546.9472425499868
0.11,0.0,0.0001,1.0,3.0,100.0,1000,0,0.0,0.09783360468404015,0.0,0.0010516153094407897
0.11,0.0,0.0001,1.0,3.0,1000.0,1000,0,0.0,0.009042942864932126,0.0,9.848719515186316e-06
0.11,0.0,0.003,1e-05,1.1,10.0,1000,0,0.0,0.45408156743682193,0.0,0.24067877421356526
0.11,0.0,0.003,1e-05,1.1,100.0,1000,0,0.0,0.020829227688897275,0.0,0.0004258243629750165
0.11,0.0,0.003,1e-05,1.1,1000.0,1000,0,0.0,0.0003080108971567597,0.0,9.604987140495017e-08
0.11,0.0,0.003,1e-05,1.5,10.0,1000,0,0.0,0.46011577247705926,0.0,0.20750654895527945
0.11,0.0,0.003,1e-05,1.5,100.0,1000,0,0.0,0.022033011679354418,0.0,0.0004958596693903928
0.11,0.0,0.003,1e-05,1.5,1000.0,1000,0,0.0,0.00032377975500510705,0.0,9.695047519439543e-08
0.11,0.0,0.003,1e-05,2.0,10.0,1000,0,0.0,0.4975040528858132,0.0,0.2546574484133114
0.11,0.0,0.003,1e-05,2.0,100.0,1000,0,0.0,0.02088861427796977,0.0,0.00042334853498104946
0.11,0.0,0.003,1e-05,2.0,1000.0,1000,0,0.0,0.00031430123853160485,0.0,1.0993886283820659e-07
0.11,0.0,0.003,1e-05,2.5,10.0,1000,0,0.0,0.48586377977564676,0.0,0.24701715110652767
0.11,0.0,0.003,1e-05,2.5,100.0,1000,0,0.0,0.020354607356128644,0.0,0.00044714420666027934
0.11,0.0,0.003,1e-05,2.5,1000.0,1000,0,0.0,0.00032714110561259346,0.0,1.0604257970733824e-07
0.11,0.0,0.003,1e-05,3.0,10.0,1000,0,0.0,0.49333162173541695,0.0,0.21464267628567818
0.11,0.0,0.003,1e-05,3.0,100.0,1000,0,0.0,0.02080073106476998,0.0,0.00044951882877490676
0.11,0.0,0.003,1e-05,3.0,1000.0,1000,0,0.0,0.0003203331199969865,0.0,1.0455691541802846e-07
0.11,0.0,0.003,0.001,1.1,10.0,1000,0,0.0,0.4633097322916266,0.0,0.23181024336838738
0.11,0.0,0.003,0.001,1.1,100.0,1000,0,0.0,0.021721292449920236,0.0,0.00045481450592552175
0.11,0.0,0.003,0.001,1.1,1000.0,1000,0,0.0,0.00033095269169902236,0.0,1.1156786603925775e-07
0.11,0.0,0.003,0.001,1.5,10.0,1000,0,0.0,0.4994921111715281,0.0,0.2397733010233366
0.11,0.0,0.003,0.001,1.5,100.0,1000,0,0.0,0.022055697176114518,0.0,0.0004385136339453147
0.11,0.0,0.003,0.001,1.5,1000.0,1000,0,0.0,0.00031642826281697657,0.0,8.815660070835768e-08
0.11,0.0,0.003,0.001,2.0,10.0,1000,0,0.0,0.49108501039739344,0.0,0.21565274151227645
0.11,0.0,0.003,0.001,2.0,100.0,1000,0,0.0,0.020863986622223316,0.0,0.00043384840081300846
0.11,0.0,0.003,0.001,2.0,1000.0,1000,0,0.0,0.0003187072366394973,0.0,1.0503522649217564e-07
0.11,0.0,0.003,0.001,2.5,10.0,1000,0,0.0,0.4914744484809011,0.0,0.2477292312018903
0.11,0.0,0.003,0.001,2.5,100.0,1000,0,0.0,0.021652783604170885,0.0,0.00048519002697669706
0.11,0.0,0.003,0.001,2.5,1000.0,1000,0,0.0,0.0002966392324727997,0.0,8.11498569106698e-08
