b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.12,0.0,0.0001,100.0,872.0,128.0,1.0,74.96808413373435,0.0,2079.343698130514
0.12,0.0,0.0001,1000.0,960.0,40.0,1.0,76.54429011247714,0.0,1671.7058727203687
0.12,0.0,0.003,10.0,1000.0,0.0,0.0,0.48265678908857573,0.0,0.2368633387421628
0.12,0.0,0.003,100.0,1000.0,0.0,0.0,0.020106123676458313,0.0,0.0003944901368488543
0.12,0.0,0.003,1000.0,1000.0,0.0,0.0,0.00032098806420664784,0.0,1.0247108747482857e-07
0.12,0.0,0.001,10.0,989.0,11.0,1.0,4.593275126427738,0.0,19.415529003915697
0.12,0.0,0.001,100.0,997.0,3.0,1.0,3.366401630359815,0.0,13.406383195706757
0.12,0.0,0.001,1000.0,1000.0,0.0,0.0,2.1381725014323445,0.0,7.323099998592658
0.12,1e-05,0.0003,10.0,871.0,129.0,1.0,28.052070560577423,0.0,354.6406717361453
0.12,1e-05,0.0003,100.0,910.0,90.0,1.0,28.850674172469358,0.0,350.8881083435602
0.12,1e-05,0.0003,1000.0,981.0,19.0,1.0,23.814133925656147,0.0,273.64277660165436
0.12,1e-05,0.0001,10.0,846.0,154.0,0.9998806678381054,76.69939907063893,7.977434041656747e-07,2059.4921933906107
0.12,1e-05,0.0001,100.0,851.0,149.0,1.0,72.42720289076988,0.0,1325.8570484060258
0.12,1e-05,0.0001,1000.0,947.0,53.0,1.0,85.54029098491051,0.0,1786.6462234935027
0.12,1e-05,0.003,10.0,1000.0,0.0,0.0,0.48599195628361513,0.0,0.23137330271858655
0.12,1e-05,0.003,100.0,1000.0,0.0,0.0,0.01994684981702047,0.0,0.0003830231288226154
0.12,1e-05,0.003,1000.0,1000.0,0.0,0.0,0.00030569804406169876,0.0,9.621424120487814e-08
0.12,1e-05,0.001,10.0,987.0,13.0,1.0,4.520247457537761,0.0,22.288643287477814
0.12,1e-05,0.001,100.0,992.0,8.0,1.0,3.511906783886862,0.0,12.59353163602988
0.12,1e-05,0.001,1000.0,1000.0,0.0,0.0,2.3332048005745456,0.0,10.407895453761293
0.12,0.0001,0.0003,10.0,874.0,126.0,0.9988505747126436,26.105128607771604,0.00014082085029369995,307.5466363929402
0.12,0.0001,0.0003,100.0,907.0,93.0,1.0,25.853455704855843,0.0,323.3451383955678
0.12,0.0001,0.0003,1000.0,971.0,29.0,1.0,26.25751461903504,0.0,190.58041535133634
0.12,0.0001,0.0001,10.0,854.0,146.0,0.9996714158655521,72.20089729090924,3.947848678299367e-06,1520.815720076461
0.12,0.0001,0.0001,100.0,866.0,134.0,0.9998083462689584,81.16523452511805,2.1628222022886707e-06,1662.7094163571137
0.12,0.0001,0.0001,1000.0,933.0,67.0,0.9997545688083609,96.6978260028581,1.5580163344785257e-06,1775.316968676961
0.12,0.0001,0.003,10.0,1000.0,0.0,0.0,0.4748028663326865,0.0,0.26225796254432343
0.12,0.0001,0.003,100.0,1000.0,0.0,0.0,0.021640515430134455,0.0,0.0004617988716208451
0.12,0.0001,0.003,1000.0,1000.0,0.0,0.0,0.00032985225275511615,0.0,9.753792290954398e-08
0.12,0.0001,0.001,10.0,986.0,14.0,1.0,4.4120498180432195,0.0,17.496898241704727
0.12,0.0001,0.001,100.0,997.0,3.0,1.0,4.153844006009998,0.0,56.3465076525823
0.12,0.0001,0.001,1000.0,1000.0,0.0,0.0,3.0347979143795363,0.0,54.686740973182935
0.12,0.001,0.0003,10.0,876.0,124.0,0.9963071073240382,26.824251489109574,0.00033907412582839314,322.633248382645
0.12,0.001,0.0003,100.0,912.0,88.0,0.9972550518842547,28.215445083918247,0.0001002974495583628,452.871932513049
0.12,0.001,0.0003,1000.0,952.0,48.0,0.9944156440580798,39.33587044323891,0.00017846853261660684,643.99848675524
0.12,0.001,0.0001,10.0,844.0,156.0,0.9965144032735781,71.49767245971321,5.876570045913974e-05,1602.9576080651507
0.12,0.001,0.0001,100.0,825.0,175.0,0.9968610267985205,82.4586450547036,5.3509424605378234e-05,2220.609554613639
0.12,0.001,0.0001,1000.0,850.0,150.0,0.9974554188169463,96.04575664673855,3.804154976753682e-05,2081.986311363614
0.12,0.001,0.003,10.0,1000.0,0.0,0.0,0.512561779118054,0.0,0.27809671085700916
0.12,0.001,0.003,100.0,1000.0,0.0,0.0,0.02095679893960879,0.0,0.00042312871044383624
0.12,0.001,0.003,1000.0,1000.0,0.0,0.0,0.00033014591100357613,0.0,1.0652258823647365e-07
0.12,0.001,0.001,10.0,990.0,10.0,1.0,4.9827741368985805,0.0,62.377588004268624
0.12,0.001,0.001,100.0,995.0,5.0,0.9619047619047618,6.254199435261331,0.005804988662131518,196.0155189174771
0.12,0.001,0.001,1000.0,999.0,1.0,1.0,7.012957432302814,0.0,351.0073947592608
0.15,0.0,0.0003,10.0,681.0,319.0,1.0,43.90593500446765,0.0,452.25346043148824
0.15,0.0,0.0003,100.0,790.0,210.0,1.0,48.489068535391205,0.0,497.3287524994608
0.15,0.0,0.0003,1000.0,933.0,67.0,1.0,54.40407400763678,0.0,478.9568045039588
0.15,0.0,0.0001,10.0,644.0,356.0,1.0,68.42273741311887,0.0,567.2878931561899
0.15,0.0,0.0001,100.0,720.0,280.0,1.0,73.07494733728447,0.0,661.2981101485475
0.15,0.0,0.0001,1000.0,838.0,162.0,1.0,79.12165396253492,0.0,658.7592059343153
0.15,0.0,0.003,10.0,955.0,45.0,1.0,3.819057925300125,0.0,14.620394136475328
0.15,0.0,0.003,100.0,989.0,11.0,1.0,2.748732735702069,0.0,9.024895227776161
0.15,0.0,0.003,1000.0,999.0,1.0,1.0,1.3818844503040677,0.0,4.7575411255076965
